"Label (Grouping)","California!!Households!!Estimate","California!!Households!!Margin of Error","California!!Families!!Estimate","California!!Families!!Margin of Error","California!!Married-couple families!!Estimate","California!!Married-couple families!!Margin of Error","California!!Nonfamily households!!Estimate","California!!Nonfamily households!!Margin of Error"
"Total","13,072,122","±21,485","8,934,621","±23,655","6,458,423","±27,202","4,137,501","±24,438"
"    Less than $10,000","5.1%","±0.1","3.4%","±0.1","1.6%","±0.1","10.3%","±0.2"
"    $10,000 to $14,999","3.9%","±0.1","2.1%","±0.1","1.1%","±0.1","8.4%","±0.3"
"    $15,000 to $24,999","7.5%","±0.1","6.0%","±0.1","4.2%","±0.1","11.6%","±0.3"
"    $25,000 to $34,999","7.2%","±0.1","6.7%","±0.1","5.1%","±0.2","9.2%","±0.2"
"    $35,000 to $49,999","10.4%","±0.2","10.2%","±0.2","8.5%","±0.2","11.4%","±0.3"
"    $50,000 to $74,999","15.6%","±0.1","15.6%","±0.2","14.4%","±0.2","15.6%","±0.3"
"    $75,000 to $99,999","12.3%","±0.1","12.8%","±0.2","13.0%","±0.2","10.6%","±0.2"
"    $100,000 to $149,999","16.6%","±0.1","18.4%","±0.2","20.7%","±0.2","11.8%","±0.2"
"    $150,000 to $199,999","8.9%","±0.1","10.3%","±0.2","12.5%","±0.2","5.0%","±0.2"
"    $200,000 or more","12.4%","±0.1","14.6%","±0.2","18.9%","±0.2","6.2%","±0.2"
"Median income (dollars)","75,277","±317","86,165","±392","103,099","±616","48,563","±658"
"Mean income (dollars)","107,384","±481","119,820","±592","139,165","±769","73,834","±765"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","37.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","38.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","33.1%","(X)"
